Name,MIME Type,File Extension,Details,FileType
Andrew Toolkit,application/andrew-inset,N/A,IANA - Andrew Inset,unknown
Applixware,application/applixware,.aw,Vistasource,unknown
Atom Syndication Format,application/atom+xml,".atom, .xml",RFC 4287,unknown
Atom Publishing Protocol,application/atomcat+xml,.atomcat,RFC 5023,unknown
Atom Publishing Protocol Service Document,application/atomsvc+xml,.atomsvc,RFC 5023,unknown
Voice Browser Call Control,"application/ccxml+xml,",.ccxml,Voice Browser Call Control: CCXML Version 1.0,unknown
Cloud Data Management Interface (CDMI) - Capability,application/cdmi-capability,.cdmia,RFC 6208,unknown
Cloud Data Management Interface (CDMI) - Contaimer,application/cdmi-container,.cdmic,RFC 6209,unknown
Cloud Data Management Interface (CDMI) - Domain,application/cdmi-domain,.cdmid,RFC 6210,unknown
Cloud Data Management Interface (CDMI) - Object,application/cdmi-object,.cdmio,RFC 6211,unknown
Cloud Data Management Interface (CDMI) - Queue,application/cdmi-queue,.cdmiq,RFC 6212,unknown
CU-SeeMe,application/cu-seeme,.cu,White Pine,unknown
Web Distributed Authoring and Versioning,application/davmount+xml,.davmount,RFC 4918,unknown
Data Structure for the Security Suitability of Cryptographic Algorithms,application/dssc+der,.dssc,RFC 5698,unknown
Data Structure for the Security Suitability of Cryptographic Algorithms,application/dssc+xml,.xdssc,RFC 5698,unknown
ECMAScript,application/ecmascript,.es,ECMA-357,unknown
Extensible MultiModal Annotation,application/emma+xml,.emma,EMMA: Extensible MultiModal Annotation markup language,unknown
Electronic Publication,application/epub+zip,.epub,Wikipedia: EPUB,unknown
Efficient XML Interchange,application/exi,.exi,Efficient XML Interchange (EXI) Best Practices,unknown
Portable Font Resource,application/font-tdpfr,.pfr,RFC 3073,unknown
Hyperstudio,application/hyperstudio,.stk,IANA - Hyperstudio,unknown
Internet Protocol Flow Information Export,application/ipfix,.ipfix,RFC 3917,unknown
Java Archive,application/java-archive,.jar,Wikipedia: JAR file format,unknown
Java Serialized Object,application/java-serialized-object,.ser,Java Serialization API,unknown
Java Bytecode File,application/java-vm,.class,Wikipedia: Java Bytecode,unknown
JavaScript,application/javascript,.js,JavaScript,unknown
JavaScript Object Notation (JSON),application/json,.json,Wikipedia: JSON,unknown
Macintosh BinHex 4.0,application/mac-binhex40,.hqx,MacMIME,unknown
Compact Pro,application/mac-compactpro,.cpt,Compact Pro,unknown
Metadata Authority Description Schema,application/mads+xml,.mads,RFC 6207,unknown
MARC Formats,application/marc,.mrc,RFC 2220,unknown
MARC21 XML Schema,application/marcxml+xml,.mrcx,RFC 6207,unknown
Mathematica Notebooks,application/mathematica,.ma,IANA - Mathematica,unknown
Mathematical Markup Language,application/mathml+xml,.mathml,W3C Math Home,unknown
Mbox database files,application/mbox,.mbox,RFC 4155,unknown
Media Server Control Markup Language,application/mediaservercontrol+xml,.mscml,RFC 5022,unknown
Metalink,application/metalink4+xml,.meta4,Wikipedia: Metalink,unknown
Metadata Encoding and Transmission Standard,application/mets+xml,.mets,RFC 6207,unknown
Metadata Object Description Schema,application/mods+xml,.mods,RFC 6207,unknown
MPEG-21,application/mp21,.m21,Wikipedia: MPEG-21,unknown
MPEG4,application/mp4,.mp4,RFC 4337,unknown
Microsoft Word,application/msword,.doc,Wikipedia: Microsoft Word,msword
Material Exchange Format,application/mxf,.mxf,RFC 4539,unknown
Binary Data,application/octet-stream,.bin,,unknown
Office Document Architecture,application/oda,.oda,RFC 2161,unknown
Open eBook Publication Structure,application/oebps-package+xml,.opf,Wikipedia: Open eBook,unknown
Ogg,application/ogg,.ogx,Wikipedia: Ogg,unknown
Microsoft OneNote,application/onenote,.onetoc,MS OneNote 2010,unknown
XML Patch Framework,application/patch-ops-error+xml,.xer,RFC 5261,unknown
Adobe Portable Document Format,application/pdf,.pdf,Adobe PDF,pdf
Pretty Good Privacy,application/pgp-encrypted,.pgp,RFC 2015,unknown
Pretty Good Privacy - Signature,application/pgp-signature,.pgp,RFC 2015,unknown
PICSRules,application/pics-rules,.prf,W3C PICSRules,unknown
PKCS #10 - Certification Request Standard,application/pkcs10,.p10,RFC 2986,unknown
